filter_str,denamed,queryLength,whereDetected,regexDetected,logicOperator,MathOperator,Size,thisPointer,matcherOption,cpuNanos,planningTimeMicros,label
"{'user': '{}', 'password': '{}'}","{'': '{}', '': '{}'}",32,0,0,0,0,0,0,0,72075,57.0,0.0
"{'user': '{}', 'password': '{}'}","{'': '{}', '': '{}'}",32,0,0,0,0,0,0,0,72075,57.0,0.0
{'username': {'$regex': '^{}'}},{'': {'$regex': ''}},31,0,1,0,0,0,0,0,75302,46.0,1.0
{'username': {'$regex': '^{}'}},{'': {'$regex': ''}},31,0,1,0,0,0,0,0,75302,46.0,1.0
{'username': {'$ne': '{}'}},{'': {'$ne': '{}'}},27,0,0,1,0,0,0,0,49784,27.0,1.0
{'username': {'$ne': '{}'}},{'': {'$ne': '{}'}},27,0,0,1,0,0,0,0,49784,27.0,1.0
{'username': {'$gt': '{}'}},{'': {'$gt': '{}'}},27,0,0,1,0,0,0,0,53761,29.0,1.0
{'username': {'$gt': '{}'}},{'': {'$gt': '{}'}},27,0,0,1,0,0,0,0,53761,29.0,1.0
"{'user': 'hacker', 'password': {'$ne': ''}}","{'': '', '': {'$ne': ''}}",43,0,0,1,0,0,0,0,58951,33.0,1.0
"{'user': 'hacker', 'password': {'$ne': ''}}","{'': '', '': {'$ne': ''}}",43,0,0,1,0,0,0,0,58951,33.0,1.0
"{'user': 'hacker', 'password': {'&ne': ''}}","{'': '', '': {'': ''}}",43,0,0,0,0,0,0,0,87554,56.0,1.0
"{'user': 'hacker', 'password': {'&ne': ''}}","{'': '', '': {'': ''}}",43,0,0,0,0,0,0,0,87554,56.0,1.0
"{'user': 'alice', 'password': '123456'}","{'': '', '': ''}",39,0,0,0,0,0,0,0,86723,51.0,0.0
"{'user': 'alice', 'password': '123456'}","{'': '', '': ''}",39,0,0,0,0,0,0,0,86723,51.0,0.0
{'username': {'$regex': '^test'}},{'': {'$regex': ''}},33,0,1,0,0,0,0,0,81804,52.0,0.0
{'username': {'$regex': '^test'}},{'': {'$regex': ''}},33,0,1,0,0,0,0,0,81804,52.0,0.0
{'username': {'$regex': '^test'}},{'': {'$regex': ''}},33,0,1,0,0,0,0,0,81804,52.0,1.0
{'username': {'$ne': 'testuser'}},{'': {'$ne': ''}},33,0,0,1,0,0,0,0,61846,34.0,0.0
{'username': {'$ne': 'testuser'}},{'': {'$ne': ''}},33,0,0,1,0,0,0,0,61846,34.0,0.0
{'username': {'$gt': 'guest'}},{'': {'$gt': ''}},30,0,0,1,0,0,0,0,124744,65.0,0.0
{'username': {'$gt': 'guest'}},{'': {'$gt': ''}},30,0,0,1,0,0,0,0,124744,65.0,0.0
"{'user': 'john', 'password': 'qwerty'}","{'': '', '': ''}",38,0,0,0,0,0,0,0,112030,63.0,0.0
"{'user': 'john', 'password': 'qwerty'}","{'': '', '': ''}",38,0,0,0,0,0,0,0,112030,63.0,0.0
"{'user': 'john', 'password': 'qwerty'}","{'': '', '': ''}",38,0,0,0,0,0,0,0,112030,63.0,0.0
{},{},2,0,0,0,0,0,0,0,138730,69.0,0.0
{},{},2,0,0,0,0,0,0,0,138730,69.0,0.0
{'category': 'electronics'},{'': ''},27,0,0,0,0,0,0,0,102092,56.0,0.0
{'category': 'electronics'},{'': ''},27,0,0,0,0,0,0,0,102092,56.0,0.0
"{'category': 'electronics', 'price': {'$gt': 200}}","{'': '', '': {'$gt': 'name'}}",50,0,0,1,0,0,0,0,68528,39.0,0.0
"{'category': 'electronics', 'price': {'$gt': 200}}","{'': '', '': {'$gt': 'name'}}",50,0,0,1,0,0,0,0,68528,39.0,0.0
"{'category': 'electronics', 'price': {'$gt': 200}, 'name': {'$regex': '^S'}}","{'': '', '': {'$gt': 'name'}, '': {'$regex': ''}}",76,0,1,1,0,0,0,0,77105,47.0,0.0
"{'category': 'electronics', 'price': {'$gt': 200}, 'name': {'$regex': '^S'}}","{'': '', '': {'$gt': 'name'}, '': {'$regex': ''}}",76,0,1,1,0,0,0,0,77105,47.0,0.0
{},{},2,0,0,0,0,0,0,0,53110,28.0,0.0
{},{},2,0,0,0,0,0,0,0,53110,28.0,0.0
{'selector': {'department': 'engineering'}},{'': {'': ''}},43,0,0,0,0,0,0,0,61917,34.0,0.0
{'selector': {'department': 'engineering'}},{'': {'': ''}},43,0,0,0,0,0,0,0,61917,34.0,0.0
"{'_id': '001', 'name': 'John Doe', 'department': 'HR', 'salary': 50000}","{'': '', '': '', '': '', '': 'name'}",71,0,0,0,0,0,0,0,87333,53.0,0.0
"{'_id': '001', 'name': 'John Doe', 'department': 'HR', 'salary': 50000}","{'': '', '': '', '': '', '': 'name'}",71,0,0,0,0,0,0,0,87333,53.0,0.0
"{'user': '{}', 'password': 'pass'}","{'': '{}', '': ''}",34,0,0,0,0,0,0,0,108224,65.0,0.0
"{'user': 'user', 'password': '{}'}","{'': '', '': '{}'}",34,0,0,0,0,0,0,0,87374,60.0,0.0
"{'user': 'admin', 'password': 'admin'}","{'': '', '': ''}",38,0,0,0,0,0,0,0,114716,63.0,0.0
"{'user': 'admin', 'password': 'admin'}","{'': '', '': ''}",38,0,0,0,0,0,0,0,114716,63.0,1.0
"{'user': 'testuser', 'password': 'testuser'}","{'': '', '': ''}",44,0,0,0,0,0,0,0,102582,59.0,0.0
"{'user': '$username', 'password': '$password'}","{'': '', '': ''}",46,0,0,0,0,0,0,0,64161,36.0,0.0
"{'id': {}, 'value': 1}","{'': {}, '': 'name'}",22,0,0,0,0,0,0,0,103243,56.0,0.0
"{'name': 'John', 'age': {}}","{'': '', '': {}}",27,0,0,0,0,0,0,0,118492,67.0,0.0
{'$where': 'this.age >= {}'},{'$where': 'this.name >= {}'},28,1,0,1,0,1,1,0,129493,289.0,1.0
"{'user': 'admin', 'password': {}}","{'': '', '': {}}",33,0,0,0,0,0,0,0,100148,54.0,1.0
"{'user': 'test', 'password': 'test'}","{'': '', '': ''}",36,0,0,0,0,0,0,0,102822,72.0,1.0
"{'user': 'test', 'password': 'test'}","{'': '', '': ''}",36,0,0,0,0,0,0,0,102822,72.0,0.0
"{'user': {'$ne': 'testuser'}, 'password': 'pass'}","{'': {'$ne': ''}, '': ''}",49,0,0,1,0,0,0,0,100558,59.0,1.0
{'username': {'$regex': '^test'}},{'': {'$regex': ''}},33,0,1,0,0,0,0,0,110378,65.0,0.0
{'username': {'$regex': '^test'}},{'': {'$regex': ''}},33,0,1,0,0,0,0,0,110378,65.0,0.0
{'username': {'$regex': '^test'}},{'': {'$regex': ''}},33,0,1,0,0,0,0,0,110378,65.0,1.0
"{'user': {'$gt': 'guest'}, 'password': 'pass'}","{'': {'$gt': ''}, '': ''}",46,0,0,1,0,0,0,0,77195,46.0,1.0
"{'type': 'user', 'name': 'admin', 'roles': ['_admin'], 'password': '123456'}","{'': '', '': '', '': [''], '': ''}",76,0,0,0,0,0,0,0,99778,59.0,1.0
{'username': {'$regex': '.*{}.*'}},{'': {'$regex': ''}},34,0,1,0,0,0,0,0,121888,80.0,1.0
"{'user': 'admin', 'password': {'$nin': ['pass', 'test']}}","{'': '', '': {'$nin': ['', '']}}",57,0,0,1,0,0,0,0,156875,91.0,1.0
"{'user': {'$in': ['admin', 'root']}, 'password': 'password'}","{'': {'$in': ['', '']}, '': ''}",60,0,0,1,0,0,0,0,90130,55.0,1.0
"{'username': {'$regex': '^{}$', '$options': 'i'}}","{'': {'$regex': '', '$options': ''}}",49,0,1,0,0,0,0,1,72165,43.0,1.0
"{'name': {'$mod': [5, 0]}}","{'': {'$mod': ['name', 'name']}}",26,0,0,0,0,0,0,0,54653,31.0,1.0
{'$where': 'this.password.length > 10'},{'$where': 'this.name.length > 'name''},39,1,0,0,0,1,1,0,131404,407.0,1.0
"{'user': 'test', 'password': 'pass'}","{'': '', '': ''}",36,0,0,0,0,0,0,0,79700,45.0,0.0
"{'name': 'John Doe', 'age': {}}","{'': '', '': {}}",31,0,0,0,0,0,0,0,55404,31.0,0.0
"{'user': 'guest', 'password': 'guest'}","{'': '', '': ''}",38,0,0,0,0,0,0,0,56075,32.0,0.0
"{'type': 'admin', 'name': 'admin', 'roles': ['admin'], 'password': 'admin'}","{'': '', '': '', '': [''], '': ''}",75,0,0,0,0,0,0,0,58860,34.0,0.0
"{'user': {'$size': 3}, 'password': '123456'}","{'': {'$size': 'name'}, '': ''}",44,0,0,0,1,1,0,0,70773,42.0,1.0
{'$where': 'this.age <= {}'},{'$where': 'this.name <= {}'},28,1,0,1,0,1,1,0,107471,230.0,1.0
{'name': {'$type': 2}},{'': {'$type': 'name'}},22,0,0,0,0,0,0,0,62818,34.0,1.0
{'name': {'$type': 16}},{'': {'$type': 'name'}},23,0,0,0,0,0,0,0,56696,31.0,1.0
"{'username': {'$regex': '^test', '$options': 'i'}}","{'': {'$regex': '', '$options': ''}}",50,0,1,0,0,0,0,1,62026,37.0,1.0
"{'user': 'guest', 'password': {'$ne': 'guest'}}","{'': '', '': {'$ne': ''}}",47,0,0,1,0,0,0,0,63269,37.0,1.0
"{'user': {'$regex': '^{}$'}, 'password': 'pass'}","{'': {'$regex': ''}, '': ''}",48,0,1,0,0,0,0,0,93846,57.0,1.0
{'$where': 'this.password.length <= 5'},{'$where': 'this.name.length <= 'name''},39,1,0,1,0,1,1,0,150482,381.0,1.0
"{'user': 'test', 'password': 'password'}","{'': '', '': ''}",40,0,0,0,0,0,0,0,111359,64.0,0.0
"{'name': 'Alice', 'age': {}}","{'': '', '': {}}",28,0,0,0,0,0,0,0,103113,73.0,0.0
"{'user': 'john', 'password': 'qwerty'}","{'': '', '': ''}",38,0,0,0,0,0,0,0,76393,43.0,0.0
"{'user': 'john', 'password': 'qwerty'}","{'': '', '': ''}",38,0,0,0,0,0,0,0,76393,43.0,0.0
"{'user': 'john', 'password': 'qwerty'}","{'': '', '': ''}",38,0,0,0,0,0,0,0,76393,43.0,0.0
"{'type': 'user', 'name': 'user', 'roles': ['user'], 'password': 'user'}","{'': '', '': '', '': [''], '': ''}",71,0,0,0,0,0,0,0,87334,50.0,0.0
"{'type': 'user', 'name': 'user', 'roles': ['user'], 'password': 'user'}","{'': '', '': '', '': [''], '': ''}",71,0,0,0,0,0,0,0,87334,50.0,0.0
"{'user': ['testuser', 'admin'], 'password': 'password'}","{'': ['', ''], '': ''}",55,0,0,0,0,0,0,0,125425,71.0,1.0
"{'username': {'$regex': '{}|admin', '$options': 'i'}}","{'': {'$regex': '', '$options': ''}}",53,0,1,0,0,0,0,1,131336,77.0,1.0
"{'user': {'$size': 1}, 'password': 'test'}","{'': {'$size': 'name'}, '': ''}",42,0,0,0,1,1,0,0,118031,68.0,1.0
{'name': {'$type': 4}},{'': {'$type': 'name'}},22,0,0,0,0,0,0,0,77535,40.0,1.0
{'name': {'$type': 17}},{'': {'$type': 'name'}},23,0,0,0,0,0,0,0,98826,56.0,1.0
"{'username': {'$regex': '^{}$'}, 'password': {'$ne': 'test'}}","{'': {'$regex': ''}, '': {'$ne': ''}}",61,0,1,1,0,0,0,0,87785,56.0,1.0
"{'user': 'admin', 'password': 'admin'}","{'': '', '': ''}",38,0,0,0,0,0,0,0,71615,41.0,0.0
"{'user': 'admin', 'password': 'admin'}","{'': '', '': ''}",38,0,0,0,0,0,0,0,71615,41.0,1.0
"{'user': 'root', 'password': 'root'}","{'': '', '': ''}",36,0,0,0,0,0,0,0,94507,51.0,1.0
"{'user': 'admin', 'password': 'password123'}","{'': '', '': ''}",44,0,0,0,0,0,0,0,97333,54.0,1.0
"{'user': 'testuser', 'password': 'testuser123'}","{'': '', '': ''}",47,0,0,0,0,0,0,0,130054,72.0,1.0
"{'user': 'test', 'password': 'test'}","{'': '', '': ''}",36,0,0,0,0,0,0,0,111629,59.0,1.0
"{'user': 'test', 'password': 'test'}","{'': '', '': ''}",36,0,0,0,0,0,0,0,111629,59.0,0.0
"{'name': 'Bob', 'age': {}}","{'': '', '': {}}",26,0,0,0,0,0,0,0,126497,67.0,0.0
"{'user': 'john', 'password': 'password123'}","{'': '', '': ''}",43,0,0,0,0,0,0,0,109095,64.0,0.0
"{'type': 'user', 'name': 'user', 'roles': ['user'], 'password': 'user'}","{'': '', '': '', '': [''], '': ''}",71,0,0,0,0,0,0,0,106239,62.0,0.0
"{'type': 'user', 'name': 'user', 'roles': ['user'], 'password': 'user'}","{'': '', '': '', '': [''], '': ''}",71,0,0,0,0,0,0,0,106239,62.0,0.0
"{'user': {'$elemMatch': {'$eq': 'admin'}}, 'password': {'$ne': 'test'}}","{'': {'$elemMatch': {'$eq': ''}}, '': {'$ne': ''}}",71,0,1,1,0,0,0,0,143900,80.0,1.0
"{'username': {'$regex': '{}.*admin.*', '$options': 'i'}}","{'': {'$regex': '', '$options': ''}}",56,0,1,0,0,0,0,1,98595,60.0,1.0
"{'user': {'$size': 2}, 'password': '123456'}","{'': {'$size': 'name'}, '': ''}",44,0,0,0,1,1,0,0,100118,59.0,1.0
{'name': {'$type': 5}},{'': {'$type': 'name'}},22,0,0,0,0,0,0,0,96973,53.0,1.0
"{'username': {'$regex': '^{}$', '$options': 'i'}, 'password': {'$ne': 'admin'}}","{'': {'$regex': '', '$options': ''}, '': {'$ne': ''}}",79,0,1,1,0,0,0,1,121248,74.0,1.0
"{'user': 'admin', 'password': 'administrator'}","{'': '', '': ''}",46,0,0,0,0,0,0,0,140403,88.0,1.0
"{'user': 'root', 'password': 'administrator'}","{'': '', '': ''}",45,0,0,0,0,0,0,0,122129,69.0,1.0
"{'user': 'admin', 'password': 'admin123'}","{'': '', '': ''}",41,0,0,0,0,0,0,0,115777,66.0,1.0
"{'user': 'testuser', 'password': 'testuser2023'}","{'': '', '': ''}",48,0,0,0,0,0,0,0,98876,56.0,1.0
"{'user': 'test', 'password': 'pass123'}","{'': '', '': ''}",39,0,0,0,0,0,0,0,113493,63.0,0.0
"{'name': 'Jane', 'age': {}}","{'': '', '': {}}",27,0,0,0,0,0,0,0,115406,65.0,0.0
"{'user': 'john', 'password': 'password2023'}","{'': '', '': ''}",44,0,0,0,0,0,0,0,99877,57.0,0.0
"{'type': 'user', 'name': 'user', 'roles': ['user'], 'password': 'secure123'}","{'': '', '': '', '': [''], '': ''}",76,0,0,0,0,0,0,0,71254,42.0,0.0
"{'type': 'user', 'name': 'user', 'roles': ['user'], 'password': 'password2023'}","{'': '', '': '', '': [''], '': ''}",79,0,0,0,0,0,0,0,82014,46.0,0.0
"{'user': 'malicious1', 'password': 'malicious1password'}","{'': '', '': ''}",56,0,0,0,0,0,0,0,106159,60.0,1.0
{'username': {'$regex': '^malicious2'}},{'': {'$regex': ''}},39,0,1,0,0,0,0,0,145203,86.0,1.0
"{'user': 'test', 'password': 'test{}'}","{'': '', '': ''}",38,0,0,0,0,0,0,0,130605,77.0,1.0
"{'user': 'test', 'password': 'test{}'}","{'': '', '': ''}",38,0,0,0,0,0,0,0,130605,77.0,0.0
"{'user': {'$in': ['admin', 'root', 'hacker']}, 'password': 'password'}","{'': {'$in': ['', '', '']}, '': ''}",70,0,0,1,0,0,0,0,110968,64.0,1.0
"{'user': {'$size': 4}, 'password': '123456'}","{'': {'$size': 'name'}, '': ''}",44,0,0,0,1,1,0,0,295284,173.0,1.0
{'username': {'$regex': '^(malicious3|malicious4)\\d+'}},{'': {'$regex': ''}},56,0,1,0,0,0,0,0,102152,67.0,1.0
"{'user': {'$eq': 'admin'}, 'password': 'malicious5'}","{'': {'$eq': ''}, '': ''}",52,0,0,1,0,0,0,0,65413,38.0,1.0
{'user': {'$regex': '^malicious6'}},{'': {'$regex': ''}},35,0,1,0,0,0,0,0,57478,34.0,1.0
"{'user': 'malicious9', 'password': {'$ne': 'malicious9password'}}","{'': '', '': {'$ne': ''}}",65,0,0,1,0,0,0,0,68929,39.0,1.0
"{'user': {'$in': ['admin', 'root', 'malicious10']}, 'password': 'malicious10password'}","{'': {'$in': ['', '', '']}, '': ''}",86,0,0,1,0,0,0,0,62246,37.0,1.0
"{'user': 'benign28', 'name': {'$type': 2}}","{'': '', '': {'$type': 'name'}}",42,0,0,0,0,0,0,0,73278,43.0,0.0
"{'user': 'benign1', 'password': 'benign1password'}","{'': '', '': ''}",50,0,0,0,0,0,0,0,101841,59.0,0.0
{'username': {'$regex': '^benign2'}},{'': {'$regex': ''}},36,0,1,0,0,0,0,0,66074,40.0,0.0
"{'user': 'test', 'password': 'test{}'}","{'': '', '': ''}",38,0,0,0,0,0,0,0,72977,42.0,1.0
"{'user': 'test', 'password': 'test{}'}","{'': '', '': ''}",38,0,0,0,0,0,0,0,72977,42.0,0.0
"{'user': {'$in': ['guest', 'user', 'benign3']}, 'password': 'password'}","{'': {'$in': ['', '', '']}, '': ''}",71,0,0,1,0,0,0,0,69360,41.0,0.0
"{'user': {'$size': 5}, 'password': '123456'}","{'': {'$size': 'name'}, '': ''}",44,0,0,0,1,1,0,0,60614,35.0,0.0
{'username': {'$regex': '^(benign4|benign5)\\d+'}},{'': {'$regex': ''}},50,0,1,0,0,0,0,0,70963,43.0,0.0
"{'user': {'$eq': 'user'}, 'password': 'benign6'}","{'': {'$eq': ''}, '': ''}",48,0,0,1,0,0,0,0,62878,37.0,0.0
{'user': {'$regex': '^benign7'}},{'': {'$regex': ''}},32,0,1,0,0,0,0,0,104716,57.0,0.0
"{'user': 'benign10', 'password': {'$ne': 'benign10password'}}","{'': '', '': {'$ne': ''}}",61,0,0,1,0,0,0,0,114675,66.0,0.0
"{'user': {'$in': ['guest', 'user', 'benign11']}, 'password': 'benign11password'}","{'': {'$in': ['', '', '']}, '': ''}",80,0,0,1,0,0,0,0,96901,57.0,0.0
"{'user': 'malicious11', 'password': 'malicious11password'}","{'': '', '': ''}",58,0,0,0,0,0,0,0,123983,69.0,1.0
{'username': {'$regex': '^malicious12'}},{'': {'$regex': ''}},40,0,1,0,0,0,0,0,118703,71.0,1.0
"{'user': 'test', 'password': 'test123{}'}","{'': '', '': ''}",41,0,0,0,0,0,0,0,143760,77.0,1.0
"{'user': {'$in': ['admin', 'root', 'hacker', 'malicious13']}, 'password': 'password'}","{'': {'$in': ['', '', '', '']}, '': ''}",85,0,0,1,0,0,0,0,378420,265.0,1.0
"{'user': {'$size': 6}, 'password': '123456'}","{'': {'$size': 'name'}, '': ''}",44,0,0,0,1,1,0,0,113883,70.0,1.0
{'username': {'$regex': '^(malicious14|malicious15)\\d+'}},{'': {'$regex': ''}},58,0,1,0,0,0,0,0,72937,45.0,1.0
"{'user': {'$eq': 'admin'}, 'password': 'malicious16'}","{'': {'$eq': ''}, '': ''}",53,0,0,1,0,0,0,0,55815,32.0,1.0
{'user': {'$regex': '^malicious17'}},{'': {'$regex': ''}},36,0,1,0,0,0,0,0,54712,31.0,1.0
"{'user': 'malicious20', 'password': {'$ne': 'malicious20password'}}","{'': '', '': {'$ne': ''}}",67,0,0,1,0,0,0,0,62718,36.0,1.0
"{'user': {'$in': ['admin', 'root', 'malicious21', 'hacker']}, 'password': 'malicious21password'}","{'': {'$in': ['', '', '', '']}, '': ''}",96,0,0,1,0,0,0,0,106841,56.0,1.0
"{'user': 'benign12', 'password': 'benign12password'}","{'': '', '': ''}",52,0,0,0,0,0,0,0,113042,63.0,0.0
{'username': {'$regex': '^benign13'}},{'': {'$regex': ''}},37,0,1,0,0,0,0,0,87574,52.0,0.0
"{'user': 'test', 'password': 'test456{}'}","{'': '', '': ''}",41,0,0,0,0,0,0,0,56276,32.0,0.0
"{'user': {'$in': ['guest', 'user', 'benign14']}, 'password': 'password'}","{'': {'$in': ['', '', '']}, '': ''}",72,0,0,1,0,0,0,0,55083,33.0,0.0
"{'user': {'$size': 7}, 'password': '123456'}","{'': {'$size': 'name'}, '': ''}",44,0,0,0,1,1,0,0,53651,30.0,0.0
{'username': {'$regex': '^(benign15|benign16)\\d+'}},{'': {'$regex': ''}},52,0,1,0,0,0,0,0,116359,70.0,0.0
"{'user': {'$eq': 'user'}, 'password': 'benign17'}","{'': {'$eq': ''}, '': ''}",49,0,0,1,0,0,0,0,116939,67.0,0.0
{'user': {'$regex': '^benign18'}},{'': {'$regex': ''}},33,0,1,0,0,0,0,0,89047,53.0,0.0
"{'user': 'benign21', 'password': {'$ne': 'benign21password'}}","{'': '', '': {'$ne': ''}}",61,0,0,1,0,0,0,0,65193,39.0,0.0
"{'user': {'$in': ['guest', 'user', 'benign22']}, 'password': 'benign22password'}","{'': {'$in': ['', '', '']}, '': ''}",80,0,0,1,0,0,0,0,57498,33.0,0.0
"{'user': {'$gt': 'admin'}, 'password': 'maliciouspassword'}","{'': {'$gt': ''}, '': ''}",59,0,0,1,0,0,0,0,124534,74.0,1.0
"{'user': {'$gt': 'admin'}, 'password': 'maliciouspassword'}","{'': {'$gt': ''}, '': ''}",59,0,0,1,0,0,0,0,124534,74.0,1.0
"{'user': 'malicious26', 'password': {'$ne': 'maliciouspassword'}}","{'': '', '': {'$ne': ''}}",65,0,0,1,0,0,0,0,148849,90.0,1.0
"{'user': {'$in': ['admin', 'root', 'malicious27', 'hacker', 'test']}, 'password': 'maliciouspassword'}","{'': {'$in': ['', '', '', '', '']}, '': ''}",102,0,0,1,0,0,0,0,160611,91.0,1.0
"{'user': {'$size': 9}, 'password': 'benignpassword'}","{'': {'$size': 'name'}, '': ''}",52,0,0,0,1,1,0,0,345429,233.0,0.0
"{'user': {'$gt': 'user'}, 'password': 'benignpassword'}","{'': {'$gt': ''}, '': ''}",55,0,0,1,0,0,0,0,176491,105.0,0.0
"{'user': {'$gt': 'user'}, 'password': 'benignpassword'}","{'': {'$gt': ''}, '': ''}",55,0,0,1,0,0,0,0,176491,105.0,0.0
"{'user': 'benign26', 'password': {'$ne': 'benignpassword'}}","{'': '', '': {'$ne': ''}}",59,0,0,1,0,0,0,0,166602,96.0,0.0
"{'user': {'$in': ['guest', 'user', 'Superuser', 'test']}, 'password': 'password123'}","{'': {'$in': ['', '', '', '']}, '': ''}",84,0,0,1,0,0,0,0,151184,87.0,0.0
"{'user': {'$elemMatch': {'$eq': 'user'}}, 'password': {'$ne': 'test'}}","{'': {'$elemMatch': {'$eq': ''}}, '': {'$ne': ''}}",70,0,1,1,0,0,0,0,249318,156.0,1.0
"{'user': {'$elemMatch': {'$eq': 'guest'}}, 'password': {'$ne': 'guest'}}","{'': {'$elemMatch': {'$eq': ''}}, '': {'$ne': ''}}",72,0,1,1,0,0,0,0,181360,106.0,1.0
"{'user': {'$elemMatch': {'$eq': 'admin'}}, 'password': {'$ne': 'admin'}}","{'': {'$elemMatch': {'$eq': ''}}, '': {'$ne': ''}}",72,0,1,1,0,0,0,0,118923,69.0,1.0
"{'user': {'$in': ['admin', 'root', 'hacker', 'test', 'guest']}, 'password': 'password'}","{'': {'$in': ['', '', '', '', '']}, '': ''}",87,0,0,1,0,0,0,0,84378,51.0,1.0
"{'user': {'$in': ['user', 'admin', 'guest', 'test', 'hacker']}, 'password': 'password'}","{'': {'$in': ['', '', '', '', '']}, '': ''}",87,0,0,1,0,0,0,0,72756,42.0,1.0
"{'user': {'$in': ['guest', 'test', 'user', 'admin', 'hacker']}, 'password': 'password'}","{'': {'$in': ['', '', '', '', '']}, '': ''}",87,0,0,1,0,0,0,0,70692,40.0,1.0
